"","geo_id","med.lon","med.lat","med.lon2.5","med.lat2.5","med.lon97.5","med.lat97.5"
"1","3254_001",-57.2446665038422,5.8156595663044,-57.8700526544625,6.4251740587843,-57.8700526544625,6.4251740587843
"2","3254_008",-58.2953088859343,1.24187771826638,-58.3881090629413,1.70071947458949,-58.3881090629413,1.70071947458949
"3","3254_057",-63.3741121313668,2.56855419526108,-63.4455316040345,2.74348051203202,-63.4455316040345,2.74348051203202
"4","4068_014",-62.8522607552897,3.48527536510173,-63.091121513093,4.81111077973115,-63.091121513093,4.81111077973115
"5","4105_008",-69.2551340131297,0.608838019990415,-69.4913968634287,1.38645422638915,-69.4913968634287,1.38645422638915
"6","4105_009",-67.0192329471321,3.61531308946411,-67.0787429465488,3.82620155073408,-67.0787429465488,3.82620155073408
"7","4105_016",-66.35208014658,4.55181683587508,-66.8148393440233,6.37421781144964,-66.8148393440233,6.37421781144964
"8","4105_017",-64.7341580630623,0.889333014767012,-64.992755008935,1.7624110957978,-64.992755008935,1.7624110957978
"9","4210_002",-63.8720372107536,-1.50518027591197,-64.0206705548745,-0.789837965982636,-64.0206705548745,-0.789837965982636
"10","4210_004",-72.0845865179116,0.67226667818959,-72.3915021226293,1.79059132312159,-72.3915021226293,1.79059132312159
"11","A",-70.2745808171028,7.38247954745155,-70.6495427508018,9.76427960839505,-70.6495427508018,9.76427960839505
"12","B",-71.4820676696267,7.12985253822285,-71.6462290720232,7.81430511973526,-71.6462290720232,7.81430511973526
"13","E",-72.6815382881502,10.5455959767038,-73.0397819419054,11.585853392538,-73.0397819419054,11.585853392538
"14","V7638_001",-62.3909123484104,3.40912474599288,-62.3960106031706,3.43452448856477,-62.3960106031706,3.43452448856477
"15","V7638_005",-65.3968316544727,4.88252432197918,-66.5049278157144,7.55198694627077,-66.5049278157144,7.55198694627077
"16","V7638_009",-66.6418605938876,5.57913708637616,-66.9107958582454,6.36830610875005,-66.9107958582454,6.36830610875005
"17","V7638_010",-62.9183278962253,5.7614100953905,-63.9459695569952,9.6208514382508,-63.9459695569952,9.6208514382508
"18","V7638_011",-63.6801318672927,2.74847199600059,-64.7913176409761,5.38115205121392,-64.7913176409761,5.38115205121392
"19","V8296_004",-71.6001921361452,0.2929862988566,-71.7016868007129,0.590070940690595,-71.7016868007129,0.590070940690595
"20","V8296_005",-71.7688307330296,6.17425897358516,-71.9090800172737,7.05439334886661,-71.9090800172737,7.05439334886661
"21","V8296_006",-69.9204423042919,9.0398608130214,-70.2349081845506,10.0708562061586,-70.2349081845506,10.0708562061586
"22","V8296_007",-67.848439297137,7.05546756704058,-67.9770161971092,7.41427259619516,-67.9770161971092,7.41427259619516
"23","V8296_008",-72.2116026052029,3.31890165895514,-72.5439076242676,5.37642850097844,-72.5439076242676,5.37642850097844
"24","V8296_017",-71.0790135528759,6.898981160433,-71.3080897509623,7.95503896895499,-71.3080897509623,7.95503896895499
"25","V8296_026",-72.0217448945606,5.74061410320599,-72.3159859583974,6.73469246814455,-72.3159859583974,6.73469246814455
"26","V8757_010",-54.5778894089936,2.13945763673029,-55.0120636128513,3.26726888935034,-55.0120636128513,3.26726888935034
"27","V8757_018",-70.3128946848916,11.1582205600169,-70.5516218055013,11.3288206704213,-70.5516218055013,11.3288206704213
"28","V8757_019",-64.1179443859546,3.17565937174112,-64.1400059586621,3.29424866127877,-64.1400059586621,3.29424866127877
"29","V8757_029",-67.3463417486516,4.66110904588978,-68.2062025708266,7.10439786545315,-68.2062025708266,7.10439786545315
"30","V8757_055",-62.9322755075314,3.66071021185159,-63.9880060552514,7.03117565552272,-63.9880060552514,7.03117565552272
"31","V8757_078",-69.9168794074405,5.80598100063866,-70.3986071355105,9.42513708655056,-70.3986071355105,9.42513708655056
"32","V8757_096",-69.715039023173,4.50299466206427,-70.4243380853115,6.94238477141587,-70.4243380853115,6.94238477141587
"33","V8757_134",-67.7882742566585,3.58674470229652,-68.6067560068839,6.36887576890303,-68.6067560068839,6.36887576890303
"34","WRMA04173",-70.7885989134151,7.2475309639871,-70.7901763405616,7.2479961034834,-70.7901763405616,7.2479961034834
"35","blpw09",-61.9981839554292,2.84827761527916,-62.2268298765373,3.72365255758857,-62.2268298765373,3.72365255758857
"36","blpw12",-64.2377731324065,4.89538254060636,-64.3749724286166,5.5864467391175,-64.3749724286166,5.5864467391175
"37","blpw14",-61.9978472566163,6.36698650904492,-62.6627994344209,8.30083596433366,-62.6627994344209,8.30083596433366
"38","blpw25",-64.7376239643348,1.09011112125847,-65.1072909119462,2.32588508510779,-65.1072909119462,2.32588508510779
